day,stakeholder_id,name,weight_before,weight_after,delta,reason,run_id,condition,seed
3,agriculture,Agriculture,2.3,2.6,0.3,cooperative (propose_trade); cooperative (accept),cascade_seed1,cascade,1
3,industry,Industry / Businesses,1.0,1.1,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
3,energy_utility,Energy Utility,3.6,3.9,0.3,cooperative (propose_trade); cooperative (propose_trade),cascade_seed1,cascade,1
3,epa,Environmental Protection Agency,1.8,1.8,0.0,objected in middle zone (legitimate); objected in middle zone (legitimate),cascade_seed1,cascade,1
4,hospital,Hospital / Healthcare Services,5.6,5.9,0.3,cooperative (accept); cooperative (accept),cascade_seed1,cascade,1
4,households,Households,3.6,3.9,0.3,cooperative (accept); cooperative (accept),cascade_seed1,cascade,1
4,agriculture,Agriculture,2.6,2.7,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
4,industry,Industry / Businesses,1.1,1.2,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
4,energy_utility,Energy Utility,3.9,4.2,0.3,cooperative (accept); cooperative (propose_trade),cascade_seed1,cascade,1
4,epa,Environmental Protection Agency,1.8,1.9,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
5,hospital,Hospital / Healthcare Services,5.9,6.2,0.3,cooperative (accept); cooperative (accept),cascade_seed1,cascade,1
5,households,Households,3.9,4.2,0.3,cooperative (propose_trade); cooperative (propose_trade),cascade_seed1,cascade,1
5,agriculture,Agriculture,2.7,2.8,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
5,industry,Industry / Businesses,1.2,1.4,0.2,objected in genuine crisis; cooperative (propose_trade),cascade_seed1,cascade,1
5,energy_utility,Energy Utility,4.2,4.15,-0.05,cooperative (accept); objected while above comfortable (strategic inflation),cascade_seed1,cascade,1
5,epa,Environmental Protection Agency,1.9,2.0,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
6,hospital,Hospital / Healthcare Services,6.2,6.5,0.3,cooperative (accept); cooperative (accept),cascade_seed1,cascade,1
6,households,Households,4.2,4.5,0.3,cooperative (propose_trade); cooperative (propose_trade),cascade_seed1,cascade,1
6,agriculture,Agriculture,2.8,2.9,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
6,industry,Industry / Businesses,1.4,1.5,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
6,energy_utility,Energy Utility,4.15,4.25,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
6,epa,Environmental Protection Agency,2.0,2.1,0.1,objected in genuine crisis; objected in genuine crisis,cascade_seed1,cascade,1
1,hospital,Hospital / Healthcare Services,5.0,5.0,0.0,no move today,cascade_seed2,cascade,2
1,households,Households,3.0,3.0,0.0,no move today,cascade_seed2,cascade,2
